epoch,accuracy,loss,val_accuracy,val_loss
0,0.7760000228881836,0.6154133081436157,0.8725000023841858,0.306073397397995
1,0.8794999718666077,0.3257645070552826,0.8550000190734863,0.3818016052246094
2,0.8939999938011169,0.2843002676963806,0.8612499833106995,0.3462166488170624
3,0.9190000295639038,0.2297707349061966,0.9087499976158142,0.2632371485233307
4,0.9164999723434448,0.22465193271636963,0.8987500071525574,0.2514088749885559
5,0.9269999861717224,0.19422547519207,0.9075000286102295,0.25370168685913086
6,0.9390000104904175,0.17148669064044952,0.9162499904632568,0.2846994698047638
7,0.9434999823570251,0.15948505699634552,0.8725000023841858,0.45144104957580566
8,0.9440000057220459,0.13159392774105072,0.8600000143051147,0.584581732749939
9,0.9514999985694885,0.12631432712078094,0.9012500047683716,0.3584737777709961
